Ref_Date,GEO,Geographical classification,SEX,CAUSES,UNIT,Vector,Coordinate,Value
1996/1998,"Total, census metropolitan areas",,Both sexes,"Colon, rectum and rectosigmoid junction cancer","Low 95% confidence interval, cancer incidence",v79916410,1.1.2.2,44.5
1997/1999,"Total, census metropolitan areas",,Both sexes,"Colon, rectum and rectosigmoid junction cancer","Low 95% confidence interval, cancer incidence",v79916410,1.1.2.2,45.1
1998/2000,"Total, census metropolitan areas",,Both sexes,"Colon, rectum and rectosigmoid junction cancer","Low 95% confidence interval, cancer incidence",v79916410,1.1.2.2,46.4
1999/2001,"Total, census metropolitan areas",,Both sexes,"Colon, rectum and rectosigmoid junction cancer","Low 95% confidence interval, cancer incidence",v79916410,1.1.2.2,46.6
2000/2002,"Total, census metropolitan areas",,Both sexes,"Colon, rectum and rectosigmoid junction cancer","Low 95% confidence interval, cancer incidence",v79916410,1.1.2.2,46.8
2001/2003,"Total, census metropolitan areas",,Both sexes,"Colon, rectum and rectosigmoid junction cancer","Low 95% confidence interval, cancer incidence",v79916410,1.1.2.2,46.3
2002/2004,"Total, census metropolitan areas",,Both sexes,"Colon, rectum and rectosigmoid junction cancer","Low 95% confidence interval, cancer incidence",v79916410,1.1.2.2,46.3
2003/2005,"Total, census metropolitan areas",,Both sexes,"Colon, rectum and rectosigmoid junction cancer","Low 95% confidence interval, cancer incidence",v79916410,1.1.2.2,46.4
2004/2006,"Total, census metropolitan areas",,Both sexes,"Colon, rectum and rectosigmoid junction cancer","Low 95% confidence interval, cancer incidence",v79916410,1.1.2.2,46.2
2005/2007,"Total, census metropolitan areas",,Both sexes,"Colon, rectum and rectosigmoid junction cancer","Low 95% confidence interval, cancer incidence",v79916410,1.1.2.2,45.9
1996/1998,"Total, census metropolitan areas",,Both sexes,"Colon, rectum and rectosigmoid junction cancer","High 95% confidence interval, cancer incidence",v79916411,1.1.2.3,45.5
1997/1999,"Total, census metropolitan areas",,Both sexes,"Colon, rectum and rectosigmoid junction cancer","High 95% confidence interval, cancer incidence",v79916411,1.1.2.3,46.2
1998/2000,"Total, census metropolitan areas",,Both sexes,"Colon, rectum and rectosigmoid junction cancer","High 95% confidence interval, cancer incidence",v79916411,1.1.2.3,47.5
1999/2001,"Total, census metropolitan areas",,Both sexes,"Colon, rectum and rectosigmoid junction cancer","High 95% confidence interval, cancer incidence",v79916411,1.1.2.3,47.6
2000/2002,"Total, census metropolitan areas",,Both sexes,"Colon, rectum and rectosigmoid junction cancer","High 95% confidence interval, cancer incidence",v79916411,1.1.2.3,47.9
2001/2003,"Total, census metropolitan areas",,Both sexes,"Colon, rectum and rectosigmoid junction cancer","High 95% confidence interval, cancer incidence",v79916411,1.1.2.3,47.3
2002/2004,"Total, census metropolitan areas",,Both sexes,"Colon, rectum and rectosigmoid junction cancer","High 95% confidence interval, cancer incidence",v79916411,1.1.2.3,47.3
2003/2005,"Total, census metropolitan areas",,Both sexes,"Colon, rectum and rectosigmoid junction cancer","High 95% confidence interval, cancer incidence",v79916411,1.1.2.3,47.4
2004/2006,"Total, census metropolitan areas",,Both sexes,"Colon, rectum and rectosigmoid junction cancer","High 95% confidence interval, cancer incidence",v79916411,1.1.2.3,47.1
2005/2007,"Total, census metropolitan areas",,Both sexes,"Colon, rectum and rectosigmoid junction cancer","High 95% confidence interval, cancer incidence",v79916411,1.1.2.3,46.8
1996/1998,"Total, census metropolitan areas",,Both sexes,"Colon, rectum and rectosigmoid junction cancer",Statistically different from reference period five years previous,v79916413,1.1.2.5,..
1997/1999,"Total, census metropolitan areas",,Both sexes,"Colon, rectum and rectosigmoid junction cancer",Statistically different from reference period five years previous,v79916413,1.1.2.5,0
1998/2000,"Total, census metropolitan areas",,Both sexes,"Colon, rectum and rectosigmoid junction cancer",Statistically different from reference period five years previous,v79916413,1.1.2.5,1
1999/2001,"Total, census metropolitan areas",,Both sexes,"Colon, rectum and rectosigmoid junction cancer",Statistically different from reference period five years previous,v79916413,1.1.2.5,0
2000/2002,"Total, census metropolitan areas",,Both sexes,"Colon, rectum and rectosigmoid junction cancer",Statistically different from reference period five years previous,v79916413,1.1.2.5,0
2001/2003,"Total, census metropolitan areas",,Both sexes,"Colon, rectum and rectosigmoid junction cancer",Statistically different from reference period five years previous,v79916413,1.1.2.5,0
2002/2004,"Total, census metropolitan areas",,Both sexes,"Colon, rectum and rectosigmoid junction cancer",Statistically different from reference period five years previous,v79916413,1.1.2.5,0
2003/2005,"Total, census metropolitan areas",,Both sexes,"Colon, rectum and rectosigmoid junction cancer",Statistically different from reference period five years previous,v79916413,1.1.2.5,0
2004/2006,"Total, census metropolitan areas",,Both sexes,"Colon, rectum and rectosigmoid junction cancer",Statistically different from reference period five years previous,v79916413,1.1.2.5,0
2005/2007,"Total, census metropolitan areas",,Both sexes,"Colon, rectum and rectosigmoid junction cancer",Statistically different from reference period five years previous,v79916413,1.1.2.5,0
1996/1998,"Total, census metropolitan areas",,Both sexes,Bronchus and lung cancer,Cancer incidence,v79916414,1.1.3.1,53.3
1997/1999,"Total, census metropolitan areas",,Both sexes,Bronchus and lung cancer,Cancer incidence,v79916414,1.1.3.1,53.2
1998/2000,"Total, census metropolitan areas",,Both sexes,Bronchus and lung cancer,Cancer incidence,v79916414,1.1.3.1,53.5
1999/2001,"Total, census metropolitan areas",,Both sexes,Bronchus and lung cancer,Cancer incidence,v79916414,1.1.3.1,53.4
2000/2002,"Total, census metropolitan areas",,Both sexes,Bronchus and lung cancer,Cancer incidence,v79916414,1.1.3.1,53.1
2001/2003,"Total, census metropolitan areas",,Both sexes,Bronchus and lung cancer,Cancer incidence,v79916414,1.1.3.1,52.8
2002/2004,"Total, census metropolitan areas",,Both sexes,Bronchus and lung cancer,Cancer incidence,v79916414,1.1.3.1,52.6
2003/2005,"Total, census metropolitan areas",,Both sexes,Bronchus and lung cancer,Cancer incidence,v79916414,1.1.3.1,53.1
2004/2006,"Total, census metropolitan areas",,Both sexes,Bronchus and lung cancer,Cancer incidence,v79916414,1.1.3.1,53
2005/2007,"Total, census metropolitan areas",,Both sexes,Bronchus and lung cancer,Cancer incidence,v79916414,1.1.3.1,52.5
1996/1998,"Total, census metropolitan areas",,Both sexes,Bronchus and lung cancer,"Low 95% confidence interval, cancer incidence",v79916415,1.1.3.2,52.7
1997/1999,"Total, census metropolitan areas",,Both sexes,Bronchus and lung cancer,"Low 95% confidence interval, cancer incidence",v79916415,1.1.3.2,52.6
1998/2000,"Total, census metropolitan areas",,Both sexes,Bronchus and lung cancer,"Low 95% confidence interval, cancer incidence",v79916415,1.1.3.2,53
1999/2001,"Total, census metropolitan areas",,Both sexes,Bronchus and lung cancer,"Low 95% confidence interval, cancer incidence",v79916415,1.1.3.2,52.9
2000/2002,"Total, census metropolitan areas",,Both sexes,Bronchus and lung cancer,"Low 95% confidence interval, cancer incidence",v79916415,1.1.3.2,52.5
2001/2003,"Total, census metropolitan areas",,Both sexes,Bronchus and lung cancer,"Low 95% confidence interval, cancer incidence",v79916415,1.1.3.2,52.2
2002/2004,"Total, census metropolitan areas",,Both sexes,Bronchus and lung cancer,"Low 95% confidence interval, cancer incidence",v79916415,1.1.3.2,52.1
2003/2005,"Total, census metropolitan areas",,Both sexes,Bronchus and lung cancer,"Low 95% confidence interval, cancer incidence",v79916415,1.1.3.2,52.6
2004/2006,"Total, census metropolitan areas",,Both sexes,Bronchus and lung cancer,"Low 95% confidence interval, cancer incidence",v79916415,1.1.3.2,52.5
2005/2007,"Total, census metropolitan areas",,Both sexes,Bronchus and lung cancer,"Low 95% confidence interval, cancer incidence",v79916415,1.1.3.2,52
1996/1998,"Total, census metropolitan areas",,Both sexes,Bronchus and lung cancer,"High 95% confidence interval, cancer incidence",v79916416,1.1.3.3,53.9
1997/1999,"Total, census metropolitan areas",,Both sexes,Bronchus and lung cancer,"High 95% confidence interval, cancer incidence",v79916416,1.1.3.3,53.7
1998/2000,"Total, census metropolitan areas",,Both sexes,Bronchus and lung cancer,"High 95% confidence interval, cancer incidence",v79916416,1.1.3.3,54.1
1999/2001,"Total, census metropolitan areas",,Both sexes,Bronchus and lung cancer,"High 95% confidence interval, cancer incidence",v79916416,1.1.3.3,54
2000/2002,"Total, census metropolitan areas",,Both sexes,Bronchus and lung cancer,"High 95% confidence interval, cancer incidence",v79916416,1.1.3.3,53.6
2001/2003,"Total, census metropolitan areas",,Both sexes,Bronchus and lung cancer,"High 95% confidence interval, cancer incidence",v79916416,1.1.3.3,53.3
2002/2004,"Total, census metropolitan areas",,Both sexes,Bronchus and lung cancer,"High 95% confidence interval, cancer incidence",v79916416,1.1.3.3,53.2
2003/2005,"Total, census metropolitan areas",,Both sexes,Bronchus and lung cancer,"High 95% confidence interval, cancer incidence",v79916416,1.1.3.3,53.6
2004/2006,"Total, census metropolitan areas",,Both sexes,Bronchus and lung cancer,"High 95% confidence interval, cancer incidence",v79916416,1.1.3.3,53.5
2005/2007,"Total, census metropolitan areas",,Both sexes,Bronchus and lung cancer,"High 95% confidence interval, cancer incidence",v79916416,1.1.3.3,53
1996/1998,"Total, census metropolitan areas",,Both sexes,Bronchus and lung cancer,Statistically different from reference period five years previous,v79916418,1.1.3.5,..
1997/1999,"Total, census metropolitan areas",,Both sexes,Bronchus and lung cancer,Statistically different from reference period five years previous,v79916418,1.1.3.5,0
1998/2000,"Total, census metropolitan areas",,Both sexes,Bronchus and lung cancer,Statistically different from reference period five years previous,v79916418,1.1.3.5,0
1999/2001,"Total, census metropolitan areas",,Both sexes,Bronchus and lung cancer,Statistically different from reference period five years previous,v79916418,1.1.3.5,0
2000/2002,"Total, census metropolitan areas",,Both sexes,Bronchus and lung cancer,Statistically different from reference period five years previous,v79916418,1.1.3.5,0
2001/2003,"Total, census metropolitan areas",,Both sexes,Bronchus and lung cancer,Statistically different from reference period five years previous,v79916418,1.1.3.5,0
2002/2004,"Total, census metropolitan areas",,Both sexes,Bronchus and lung cancer,Statistically different from reference period five years previous,v79916418,1.1.3.5,0
2003/2005,"Total, census metropolitan areas",,Both sexes,Bronchus and lung cancer,Statistically different from reference period five years previous,v79916418,1.1.3.5,0
2004/2006,"Total, census metropolitan areas",,Both sexes,Bronchus and lung cancer,Statistically different from reference period five years previous,v79916418,1.1.3.5,0
2005/2007,"Total, census metropolitan areas",,Both sexes,Bronchus and lung cancer,Statistically different from reference period five years previous,v79916418,1.1.3.5,0
1996/1998,"Total, census metropolitan areas",,Males,All invasive primary cancer sites (including in situ bladder),Cancer incidence,v79916419,1.2.1.1,430
1997/1999,"Total, census metropolitan areas",,Males,All invasive primary cancer sites (including in situ bladder),Cancer incidence,v79916419,1.2.1.1,434.1
1998/2000,"Total, census metropolitan areas",,Males,All invasive primary cancer sites (including in situ bladder),Cancer incidence,v79916419,1.2.1.1,440.1
1999/2001,"Total, census metropolitan areas",,Males,All invasive primary cancer sites (including in situ bladder),Cancer incidence,v79916419,1.2.1.1,446.6
2000/2002,"Total, census metropolitan areas",,Males,All invasive primary cancer sites (including in situ bladder),Cancer incidence,v79916419,1.2.1.1,445.5
2001/2003,"Total, census metropolitan areas",,Males,All invasive primary cancer sites (including in situ bladder),Cancer incidence,v79916419,1.2.1.1,442.3
2002/2004,"Total, census metropolitan areas",,Males,All invasive primary cancer sites (including in situ bladder),Cancer incidence,v79916419,1.2.1.1,438.5
2003/2005,"Total, census metropolitan areas",,Males,All invasive primary cancer sites (including in situ bladder),Cancer incidence,v79916419,1.2.1.1,441.3
2004/2006,"Total, census metropolitan areas",,Males,All invasive primary cancer sites (including in situ bladder),Cancer incidence,v79916419,1.2.1.1,441.2
2005/2007,"Total, census metropolitan areas",,Males,All invasive primary cancer sites (including in situ bladder),Cancer incidence,v79916419,1.2.1.1,441
1996/1998,"Total, census metropolitan areas",,Males,All invasive primary cancer sites (including in situ bladder),"Low 95% confidence interval, cancer incidence",v79916420,1.2.1.2,427.6
1997/1999,"Total, census metropolitan areas",,Males,All invasive primary cancer sites (including in situ bladder),"Low 95% confidence interval, cancer incidence",v79916420,1.2.1.2,431.7
1998/2000,"Total, census metropolitan areas",,Males,All invasive primary cancer sites (including in situ bladder),"Low 95% confidence interval, cancer incidence",v79916420,1.2.1.2,437.7
1999/2001,"Total, census metropolitan areas",,Males,All invasive primary cancer sites (including in situ bladder),"Low 95% confidence interval, cancer incidence",v79916420,1.2.1.2,444.2
2000/2002,"Total, census metropolitan areas",,Males,All invasive primary cancer sites (including in situ bladder),"Low 95% confidence interval, cancer incidence",v79916420,1.2.1.2,443.2
2001/2003,"Total, census metropolitan areas",,Males,All invasive primary cancer sites (including in situ bladder),"Low 95% confidence interval, cancer incidence",v79916420,1.2.1.2,440
2002/2004,"Total, census metropolitan areas",,Males,All invasive primary cancer sites (including in situ bladder),"Low 95% confidence interval, cancer incidence",v79916420,1.2.1.2,436.3
2003/2005,"Total, census metropolitan areas",,Males,All invasive primary cancer sites (including in situ bladder),"Low 95% confidence interval, cancer incidence",v79916420,1.2.1.2,439
2004/2006,"Total, census metropolitan areas",,Males,All invasive primary cancer sites (including in situ bladder),"Low 95% confidence interval, cancer incidence",v79916420,1.2.1.2,439
2005/2007,"Total, census metropolitan areas",,Males,All invasive primary cancer sites (including in situ bladder),"Low 95% confidence interval, cancer incidence",v79916420,1.2.1.2,438.9
1996/1998,"Total, census metropolitan areas",,Males,All invasive primary cancer sites (including in situ bladder),"High 95% confidence interval, cancer incidence",v79916421,1.2.1.3,432.4
1997/1999,"Total, census metropolitan areas",,Males,All invasive primary cancer sites (including in situ bladder),"High 95% confidence interval, cancer incidence",v79916421,1.2.1.3,436.6
1998/2000,"Total, census metropolitan areas",,Males,All invasive primary cancer sites (including in situ bladder),"High 95% confidence interval, cancer incidence",v79916421,1.2.1.3,442.5
1999/2001,"Total, census metropolitan areas",,Males,All invasive primary cancer sites (including in situ bladder),"High 95% confidence interval, cancer incidence",v79916421,1.2.1.3,449
2000/2002,"Total, census metropolitan areas",,Males,All invasive primary cancer sites (including in situ bladder),"High 95% confidence interval, cancer incidence",v79916421,1.2.1.3,447.9
2001/2003,"Total, census metropolitan areas",,Males,All invasive primary cancer sites (including in situ bladder),"High 95% confidence interval, cancer incidence",v79916421,1.2.1.3,444.6
2002/2004,"Total, census metropolitan areas",,Males,All invasive primary cancer sites (including in situ bladder),"High 95% confidence interval, cancer incidence",v79916421,1.2.1.3,440.8
2003/2005,"Total, census metropolitan areas",,Males,All invasive primary cancer sites (including in situ bladder),"High 95% confidence interval, cancer incidence",v79916421,1.2.1.3,443.5
2004/2006,"Total, census metropolitan areas",,Males,All invasive primary cancer sites (including in situ bladder),"High 95% confidence interval, cancer incidence",v79916421,1.2.1.3,443.5
2005/2007,"Total, census metropolitan areas",,Males,All invasive primary cancer sites (including in situ bladder),"High 95% confidence interval, cancer incidence",v79916421,1.2.1.3,443.2
1996/1998,"Total, census metropolitan areas",,Males,All invasive primary cancer sites (including in situ bladder),Statistically different from reference period five years previous,v79916423,1.2.1.5,..
1997/1999,"Total, census metropolitan areas",,Males,All invasive primary cancer sites (including in situ bladder),Statistically different from reference period five years previous,v79916423,1.2.1.5,1
1998/2000,"Total, census metropolitan areas",,Males,All invasive primary cancer sites (including in situ bladder),Statistically different from reference period five years previous,v79916423,1.2.1.5,1
1999/2001,"Total, census metropolitan areas",,Males,All invasive primary cancer sites (including in situ bladder),Statistically different from reference period five years previous,v79916423,1.2.1.5,1
2000/2002,"Total, census metropolitan areas",,Males,All invasive primary cancer sites (including in situ bladder),Statistically different from reference period five years previous,v79916423,1.2.1.5,0
2001/2003,"Total, census metropolitan areas",,Males,All invasive primary cancer sites (including in situ bladder),Statistically different from reference period five years previous,v79916423,1.2.1.5,0
2002/2004,"Total, census metropolitan areas",,Males,All invasive primary cancer sites (including in situ bladder),Statistically different from reference period five years previous,v79916423,1.2.1.5,-1
2003/2005,"Total, census metropolitan areas",,Males,All invasive primary cancer sites (including in situ bladder),Statistically different from reference period five years previous,v79916423,1.2.1.5,0
2004/2006,"Total, census metropolitan areas",,Males,All invasive primary cancer sites (including in situ bladder),Statistically different from reference period five years previous,v79916423,1.2.1.5,0
2005/2007,"Total, census metropolitan areas",,Males,All invasive primary cancer sites (including in situ bladder),Statistically different from reference period five years previous,v79916423,1.2.1.5,0
1996/1998,"Total, census metropolitan areas",,Males,"Colon, rectum and rectosigmoid junction cancer",Cancer incidence,v79916424,1.2.2.1,55.7
1997/1999,"Total, census metropolitan areas",,Males,"Colon, rectum and rectosigmoid junction cancer",Cancer incidence,v79916424,1.2.2.1,56.2
1998/2000,"Total, census metropolitan areas",,Males,"Colon, rectum and rectosigmoid junction cancer",Cancer incidence,v79916424,1.2.2.1,58
1999/2001,"Total, census metropolitan areas",,Males,"Colon, rectum and rectosigmoid junction cancer",Cancer incidence,v79916424,1.2.2.1,58.5
2000/2002,"Total, census metropolitan areas",,Males,"Colon, rectum and rectosigmoid junction cancer",Cancer incidence,v79916424,1.2.2.1,59
2001/2003,"Total, census metropolitan areas",,Males,"Colon, rectum and rectosigmoid junction cancer",Cancer incidence,v79916424,1.2.2.1,58
2002/2004,"Total, census metropolitan areas",,Males,"Colon, rectum and rectosigmoid junction cancer",Cancer incidence,v79916424,1.2.2.1,57.8
2003/2005,"Total, census metropolitan areas",,Males,"Colon, rectum and rectosigmoid junction cancer",Cancer incidence,v79916424,1.2.2.1,57.9
2004/2006,"Total, census metropolitan areas",,Males,"Colon, rectum and rectosigmoid junction cancer",Cancer incidence,v79916424,1.2.2.1,57.9
2005/2007,"Total, census metropolitan areas",,Males,"Colon, rectum and rectosigmoid junction cancer",Cancer incidence,v79916424,1.2.2.1,57.5
1996/1998,"Total, census metropolitan areas",,Males,"Colon, rectum and rectosigmoid junction cancer","Low 95% confidence interval, cancer incidence",v79916425,1.2.2.2,54.8
1997/1999,"Total, census metropolitan areas",,Males,"Colon, rectum and rectosigmoid junction cancer","Low 95% confidence interval, cancer incidence",v79916425,1.2.2.2,55.3
1998/2000,"Total, census metropolitan areas",,Males,"Colon, rectum and rectosigmoid junction cancer","Low 95% confidence interval, cancer incidence",v79916425,1.2.2.2,57.1
1999/2001,"Total, census metropolitan areas",,Males,"Colon, rectum and rectosigmoid junction cancer","Low 95% confidence interval, cancer incidence",v79916425,1.2.2.2,57.7
2000/2002,"Total, census metropolitan areas",,Males,"Colon, rectum and rectosigmoid junction cancer","Low 95% confidence interval, cancer incidence",v79916425,1.2.2.2,58.1
2001/2003,"Total, census metropolitan areas",,Males,"Colon, rectum and rectosigmoid junction cancer","Low 95% confidence interval, cancer incidence",v79916425,1.2.2.2,57.1
2002/2004,"Total, census metropolitan areas",,Males,"Colon, rectum and rectosigmoid junction cancer","Low 95% confidence interval, cancer incidence",v79916425,1.2.2.2,57
2003/2005,"Total, census metropolitan areas",,Males,"Colon, rectum and rectosigmoid junction cancer","Low 95% confidence interval, cancer incidence",v79916425,1.2.2.2,57.1
2004/2006,"Total, census metropolitan areas",,Males,"Colon, rectum and rectosigmoid junction cancer","Low 95% confidence interval, cancer incidence",v79916425,1.2.2.2,57.1
2005/2007,"Total, census metropolitan areas",,Males,"Colon, rectum and rectosigmoid junction cancer","Low 95% confidence interval, cancer incidence",v79916425,1.2.2.2,56.7
1996/1998,"Total, census metropolitan areas",,Males,"Colon, rectum and rectosigmoid junction cancer","High 95% confidence interval, cancer incidence",v79916426,1.2.2.3,56.6
1997/1999,"Total, census metropolitan areas",,Males,"Colon, rectum and rectosigmoid junction cancer","High 95% confidence interval, cancer incidence",v79916426,1.2.2.3,57.1
1998/2000,"Total, census metropolitan areas",,Males,"Colon, rectum and rectosigmoid junction cancer","High 95% confidence interval, cancer incidence",v79916426,1.2.2.3,58.9
1999/2001,"Total, census metropolitan areas",,Males,"Colon, rectum and rectosigmoid junction cancer","High 95% confidence interval, cancer incidence",v79916426,1.2.2.3,59.4
2000/2002,"Total, census metropolitan areas",,Males,"Colon, rectum and rectosigmoid junction cancer","High 95% confidence interval, cancer incidence",v79916426,1.2.2.3,59.8
